Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEO_ID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,PCT_SE_A03001_002,PCT_SE_A03001_003,PCT_SE_A03001_004,PCT_SE_A03001_005,PCT_SE_A03001_006,PCT_SE_A03001_007,PCT_SE_A03001_008,SE_A04002_001,SE_A04002_002,SE_A04002_003,SE_A04002_004,SE_A04002_005,SE_A04002_006,SE_A04002_007,SE_A04002_008,SE_A04002_009,SE_A04002_010,SE_A04002_011,SE_A04002_012,SE_A04002_013,SE_A04002_014,SE_A04002_015,SE_A04002_016,SE_A04002_017,SE_A04002_018,SE_A04002_019,SE_A04002_020,SE_A04002_021,SE_A04002_022,SE_A04002_023,SE_A04002_024,SE_A04002_025,SE_A04002_026,SE_A04002_027,SE_A04002_028,SE_A04002_029,SE_A04002_030,SE_A04002_031,PCT_SE_A04002_002,PCT_SE_A04002_003,PCT_SE_A04002_004,PCT_SE_A04002_005,PCT_SE_A04002_006,PCT_SE_A04002_007,PCT_SE_A04002_008,PCT_SE_A04002_009,PCT_SE_A04002_010,PCT_SE_A04002_011,PCT_SE_A04002_012,PCT_SE_A04002_013,PCT_SE_A04002_014,PCT_SE_A04002_015,PCT_SE_A04002_016,PCT_SE_A04002_017,PCT_SE_A04002_018,PCT_SE_A04002_019,PCT_SE_A04002_020,PCT_SE_A04002_021,PCT_SE_A04002_022,PCT_SE_A04002_023,PCT_SE_A04002_024,PCT_SE_A04002_025,PCT_SE_A04002_026,PCT_SE_A04002_027,PCT_SE_A04002_028,PCT_SE_A04002_029,PCT_SE_A04002_030,PCT_SE_A04002_031,SE_A03002_001,SE_A03002_002,SE_A03002_003,SE_A03002_020,SE_A03002_021,SE_A03002_004,SE_A03002_005,SE_A03002_006,SE_A03002_007,SE_A03002_008,SE_A03002_009,SE_A03002_010,SE_A03002_011,SE_A03002_012,SE_A03002_022,SE_A03002_023,SE_A03002_024,SE_A03002_013,SE_A03002_014,SE_A03002_015,SE_A03002_016,SE_A03002_017,SE_A03002_018,SE_A03002_019,SE_A03002_025,PCT_SE_A03002_002,PCT_SE_A03002_003,PCT_SE_A03002_020,PCT_SE_A03002_021,PCT_SE_A03002_004,PCT_SE_A03002_005,PCT_SE_A03002_006,PCT_SE_A03002_007,PCT_SE_A03002_008,PCT_SE_A03002_009,PCT_SE_A03002_010,PCT_SE_A03002_011,PCT_SE_A03002_012,PCT_SE_A03002_022,PCT_SE_A03002_023,PCT_SE_A03002_024,PCT_SE_A03002_013,PCT_SE_A03002_014,PCT_SE_A03002_015,PCT_SE_A03002_016,PCT_SE_A03002_017,PCT_SE_A03002_018,PCT_SE_A03002_019,PCT_SE_A03002_025
"06037535606","Census Tract 5356.06, Los Angeles County, California","ca","140","00",,,,"06","037",,,"535606",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037535606","Census Tract 5356.06",,,,1899,274,10,0,0,0,1071,544,14.43,0.53,0,0,0,56.4,28.65,1899,24,1875,1569,0,0,0,240,0,7,0,3,0,230,0,26,0,0,0,26,0,0,0,0,0,0,40,0,0,0,40,1.26,98.74,82.62,0,0,0,12.64,0,0.37,0,0.16,0,12.11,0,1.37,0,0,0,1.37,0,0,0,0,0,0,2.11,0,0,0,2.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"06037535607","Census Tract 5356.07, Los Angeles County, California","ca","140","00",,,,"06","037",,,"535607",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037535607","Census Tract 5356.07",,,,4611,1084,32,35,44,0,2398,1018,23.51,0.69,0.76,0.95,0,52.01,22.08,4611,115,4496,3259,0,0,0,943,0,410,38,47,0,448,0,6,0,0,0,0,6,0,0,0,0,0,288,0,0,0,288,2.49,97.51,70.68,0,0,0,20.45,0,8.89,0.82,1.02,0,9.72,0,0.13,0,0,0,0,0.13,0,0,0,0,0,6.25,0,0,0,6.25,44,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06037535701","Census Tract 5357.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"535701",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037535701","Census Tract 5357.01",,,,5757,878,0,21,323,0,3252,1283,15.25,0,0.36,5.61,0,56.49,22.29,5757,636,5121,4045,12,0,0,661,31,275,47,21,0,287,0,91,0,0,0,59,0,0,0,0,32,0,312,0,0,0,312,11.05,88.95,70.26,0.21,0,0,11.48,0.54,4.78,0.82,0.36,0,4.99,0,1.58,0,0,0,1.02,0,0,0,0,0.56,0,5.42,0,0,0,5.42,323,17,0,0,0,0,0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,94.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06037535702","Census Tract 5357.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"535702",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037535702","Census Tract 5357.02",,,,5756,1261,17,107,48,0,2686,1637,21.91,0.3,1.86,0.83,0,46.66,28.44,5756,142,5614,4705,14,0,0,546,0,178,21,106,0,241,0,171,0,0,0,0,62,0,109,0,0,0,178,0,0,0,178,2.47,97.53,81.74,0.24,0,0,9.49,0,3.09,0.36,1.84,0,4.19,0,2.97,0,0,0,0,1.08,0,1.89,0,0,0,3.09,0,0,0,3.09,48,0,0,0,0,0,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,27.08,25,0,0,0,0,0,0,0,0,0,0,0,0,0,47.92,0,0,0
"06037535802","Census Tract 5358.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"535802",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037535802","Census Tract 5358.02",,,,6316,1793,51,137,10,18,2515,1792,28.39,0.81,2.17,0.16,0.28,39.82,28.37,6316,201,6115,5383,18,26,0,636,0,94,139,202,0,201,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,52,3.18,96.82,85.23,0.28,0.41,0,10.07,0,1.49,2.2,3.2,0,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0.82,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06037535803","Census Tract 5358.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"535803",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037535803","Census Tract 5358.03",,,,3549,546,0,0,7,17,1751,1228,15.38,0,0,0.2,0.48,49.34,34.6,3549,53,3496,3194,0,0,0,302,19,165,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49,98.51,90,0,0,0,8.51,0.54,4.65,0,0,0,3.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06037535804","Census Tract 5358.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"535804",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037535804","Census Tract 5358.04",,,,6041,1523,36,61,0,0,1802,2619,25.21,0.6,1.01,0,0,29.83,43.35,6041,66,5975,5169,0,0,0,779,0,106,186,40,0,447,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,98.91,85.57,0,0,0,12.9,0,1.75,3.08,0.66,0,7.4,0,0.45,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"06037535901","Census Tract 5359.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"535901",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037535901","Census Tract 5359.01",,,,6051,1704,0,125,0,0,2975,1247,28.16,0,2.07,0,0,49.17,20.61,6051,199,5852,5111,15,0,0,612,0,209,0,88,0,315,0,29,0,0,0,0,0,0,29,0,0,0,85,31,17,0,37,3.29,96.71,84.47,0.25,0,0,10.11,0,3.45,0,1.45,0,5.21,0,0.48,0,0,0,0,0,0,0.48,0,0,0,1.4,0.51,0.28,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"06037535902","Census Tract 5359.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"535902",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037535902","Census Tract 5359.02",,,,5735,1213,88,76,20,0,2200,2138,21.15,1.53,1.33,0.35,0,38.36,37.28,5735,306,5429,4764,0,226,0,305,8,48,40,12,0,197,0,0,0,0,0,0,0,0,0,0,0,0,134,37,26,0,71,5.34,94.66,83.07,0,3.94,0,5.32,0.14,0.84,0.7,0.21,0,3.44,0,0,0,0,0,0,0,0,0,0,0,0,2.34,0.65,0.45,0,1.24,20,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,85,0,0,0,0
"06037536000","Census Tract 5360, Los Angeles County, California","ca","140","00",,,,"06","037",,,"536000",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037536000","Census Tract 5360",,,,3182,1010,30,88,8,0,1064,982,31.74,0.94,2.77,0.25,0,33.44,30.86,3182,104,3078,2680,18,0,0,325,0,224,18,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,55,3.27,96.73,84.22,0.57,0,0,10.21,0,7.04,0.57,0,0,2.61,0,0,0,0,0,0,0,0,0,0,0,0,1.73,0,0,0,1.73,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
